ASA [m^2/cm^3],CellV [A^3],Df,Di,Dif,NASA [m^2/cm^3],POAV [cm^3/g],POAVF,PONAV [cm^3/g],PONAVF,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric,logKH_CH4
1168.13,1526.16,3.96658,5.08429,5.08059,0.0,0.429402,0.47206,0.0,0.0,1.09934,1168.13,1062.5739079811524,0.47206,0.429402,-4.820192647739997
3116.28,2537.72,5.0582400000000005,6.47613,6.43511,0.0,0.8367589999999999,0.6998000000000001,0.0,0.0,0.8363219999999999,3116.28,3726.172455107004,0.6998000000000001,0.8367589999999999,-5.154062721775434
676.711,2366.52,3.73672,5.22329,5.11659,0.0,0.326555,0.31422,0.0,0.0,0.962226,676.711,703.2765691220151,0.31422,0.326555,-4.013499224635964
625.52,2870.89,4.00911,5.07304,4.98758,2.00807,0.209111,0.23094,0.0,0.0,1.10439,627.5280700000001,568.2123796847128,0.23094,0.209111,-4.578537570895994
583.305,4687.37,5.98045,7.05253,7.05253,0.0,0.14115,0.18594,0.0,0.0,1.31733,583.305,442.79337751360697,0.18594,0.14115,-5.211859922580586
586.086,4687.37,5.98059,7.063839999999999,7.063839999999999,0.0,0.141514,0.18642,0.0,0.0,1.31733,586.086,444.9044658513813,0.18642,0.141514,-5.203169744344253
570.7130000000001,4662.23,5.6139600000000005,6.984889999999999,6.98457,0.0,0.133426,0.17794,0.0,0.0,1.33363,570.7130000000001,427.9395334538065,0.17794,0.133426,-5.233950208204396
567.479,4662.23,5.6341,6.97151,6.94032,0.0,0.133201,0.17764,0.0,0.0,1.33363,567.479,425.5145730075058,0.17764,0.133201,-5.225041665078198
0.0,1893.6,3.11735,3.80124,3.7456,2.9467,0.0,0.0,0.0,0.0,2.53247,2.9467,1.1635675842162,0.0,0.0,-6.2861416804043415
0.0,1249.08,2.5912,4.92234,4.92234,430.99300000000005,0.0,0.0,0.152163,0.20224,1.3291,430.99300000000005,324.2743209690768,0.20224,0.152163,-4.217710878931763
186.68,2522.75,3.89642,4.45768,4.45768,0.0,0.107624,0.13982,0.0,0.0,1.29915,186.68,143.6939537389832,0.13982,0.107624,-4.34896246558608
0.0,3083.41,3.47327,5.19284,4.97211,673.4,0.0,0.0,0.220178,0.25868,1.17487,673.4,573.1697975095117,0.25868,0.220178,-4.618583455634537
